체결시각,체결가,전일비,매도,매수,거래량,변동량
15:58,"173,300","1,700","173,300",0,"394,834",8
15:57,"173,300","1,700","173,300",0,"394,826",11
15:56,"173,300","1,700","173,300",0,"394,815",5
15:55,"173,300","1,700","173,300",0,"394,810",2
15:54,"173,300","1,700","173,300",0,"394,808",12
15:53,"173,300","1,700","173,300",0,"394,796",33
15:52,"173,300","1,700","173,300",0,"394,763",49
15:51,"173,300","1,700","173,300",0,"394,714",6
15:50,"173,300","1,700","173,300",0,"394,708",10
15:49,"173,300","1,700","173,300",0,"394,698",1
15:48,"173,300","1,700","173,300",0,"394,697",10
15:47,"173,300","1,700","173,300",0,"394,687",14
15:46,"173,300","1,700","173,300",0,"394,673",3
15:45,"173,300","1,700",0,0,"394,670",10
15:44,"173,300","1,700","173,300",0,"394,660",21
15:43,"173,300","1,700","173,300",0,"394,639",16
15:42,"173,300","1,700","173,300",0,"394,623",19
15:41,"173,300","1,700","173,300",0,"394,604",36
15:40,"173,300","1,700","173,300",0,"394,568",248
15:30,"173,300","1,700","173,400","173,300","394,320","10,934"
15:19,"173,500","1,500","173,600","173,500","383,386","1,767"
15:18,"173,500","1,500","173,600","173,500","381,619","1,139"
15:17,"173,600","1,400","173,600","173,500","380,480",549
15:16,"173,600","1,400","173,600","173,500","379,931",802
15:15,"173,500","1,500","173,600","173,500","379,129",300
15:14,"173,500","1,500","173,600","173,500","378,829",754
15:13,"173,500","1,500","173,600","173,500","378,075","1,013"
15:12,"173,500","1,500","173,600","173,500","377,062","1,029"
15:11,"173,500","1,500","173,600","173,500","376,033",741
15:10,"173,600","1,400","173,600","173,500","375,292",645
15:09,"173,500","1,500","173,600","173,500","374,647",693
15:08,"173,500","1,500","173,600","173,500","373,954",524
15:07,"173,600","1,400","173,600","173,500","373,430",585
15:06,"173,500","1,500","173,600","173,500","372,845",527
15:05,"173,500","1,500","173,500","173,400","372,318","1,625"
15:04,"173,600","1,400","173,600","173,500","370,693","1,163"
15:03,"173,500","1,500","173,500","173,400","369,530",439
15:02,"173,500","1,500","173,500","173,400","369,091",485
15:01,"173,400","1,600","173,500","173,400","368,606","1,012"
15:00,"173,500","1,500","173,600","173,500","367,594",533
14:59,"173,500","1,500","173,600","173,500","367,061",305
14:58,"173,600","1,400","173,600","173,500","366,756",245
14:57,"173,500","1,500","173,600","173,500","366,511",491
14:56,"173,500","1,500","173,500","173,400","366,020","1,062"
14:55,"173,500","1,500","173,600","173,500","364,958",263
14:54,"173,500","1,500","173,600","173,500","364,695",471
14:53,"173,600","1,400","173,600","173,500","364,224",245
14:52,"173,600","1,400","173,600","173,500","363,979",469
14:51,"173,400","1,600","173,400","173,300","363,510","2,702"
14:50,"173,600","1,400","173,700","173,600","360,808",651
14:49,"173,600","1,400","173,600","173,500","360,157",673
14:48,"173,600","1,400","173,600","173,500","359,484",283
14:47,"173,600","1,400","173,600","173,500","359,201",317
14:46,"173,500","1,500","173,500","173,400","358,884",355
14:45,"173,600","1,400","173,600","173,500","358,529",365
14:44,"173,500","1,500","173,500","173,400","358,164",475
14:43,"173,600","1,400","173,600","173,500","357,689",409
14:42,"173,500","1,500","173,500","173,400","357,280",334
14:41,"173,500","1,500","173,500","173,400","356,946",383
14:40,"173,400","1,600","173,400","173,300","356,563","1,433"
14:39,"173,300","1,700","173,300","173,200","355,130",696
14:38,"173,300","1,700","173,300","173,200","354,434",372
14:37,"173,200","1,800","173,200","173,100","354,062",699
14:36,"173,200","1,800","173,200","173,100","353,363",553
14:35,"173,200","1,800","173,200","173,100","352,810",337
14:34,"173,100","1,900","173,200","173,100","352,473",590
14:33,"173,300","1,700","173,300","173,200","351,883",537
14:32,"173,300","1,700","173,300","173,200","351,346",765
14:31,"173,200","1,800","173,200","173,100","350,581",540
14:30,"173,200","1,800","173,200","173,100","350,041",403
14:29,"173,200","1,800","173,200","173,100","349,638",684
14:28,"173,300","1,700","173,300","173,200","348,954",478
14:27,"173,300","1,700","173,300","173,200","348,476",652
14:26,"173,400","1,600","173,400","173,300","347,824",859
14:25,"173,500","1,500","173,500","173,400","346,965","2,606"
14:24,"173,600","1,400","173,600","173,500","344,359","1,456"
14:23,"173,400","1,600","173,400","173,300","342,903",582
14:22,"173,300","1,700","173,300","173,200","342,321","1,599"
14:21,"173,000","2,000","173,100","173,000","340,722",420
14:20,"173,000","2,000","173,100","173,000","340,302",964
14:19,"173,200","1,800","173,200","173,100","339,338","1,155"
14:18,"173,000","2,000","173,100","173,000","338,183",823
14:17,"173,000","2,000","173,100","173,000","337,360",981
14:16,"173,100","1,900","173,100","173,000","336,379",465
14:15,"173,100","1,900","173,100","173,000","335,914","1,405"
14:14,"173,100","1,900","173,100","173,000","334,509",977
14:13,"173,100","1,900","173,100","173,000","333,532","1,104"
14:12,"173,100","1,900","173,100","173,000","332,428",591
14:11,"172,900","2,100","173,000","172,900","331,837",695
14:10,"173,000","2,000","173,000","172,900","331,142",502
14:09,"173,100","1,900","173,100","173,000","330,640",469
14:08,"173,000","2,000","173,000","172,900","330,171",793
14:07,"173,000","2,000","173,100","173,000","329,378","2,029"
14:06,"172,800","2,200","172,800","172,700","327,349","1,021"
14:05,"172,700","2,300","172,800","172,700","326,328","1,256"
